2026-09-18 06:33:52 | INFO     | src.database | Connected to database at data/edupredict.db
2026-09-18 06:33:52 | INFO     | src.ml_model | Generated synthetic dataset with 200 samples
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_1' with id=1
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_2' with id=2
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_3' with id=3
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_4' with id=4
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_5' with id=5
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_6' with id=6
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_7' with id=7
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_8' with id=8
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_9' with id=9
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_10' with id=10
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_11' with id=11
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_12' with id=12
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_13' with id=13
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_14' with id=14
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_15' with id=15
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_16' with id=16
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_17' with id=17
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_18' with id=18
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_19' with id=19
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_20' with id=20
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_21' with id=21
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_22' with id=22
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_23' with id=23
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_24' with id=24
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_25' with id=25
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_26' with id=26
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_27' with id=27
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_28' with id=28
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_29' with id=29
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_30' with id=30
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_31' with id=31
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_32' with id=32
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_33' with id=33
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_34' with id=34
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_35' with id=35
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_36' with id=36
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_37' with id=37
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_38' with id=38
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_39' with id=39
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_40' with id=40
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_41' with id=41
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_42' with id=42
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_43' with id=43
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_44' with id=44
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_45' with id=45
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_46' with id=46
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_47' with id=47
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_48' with id=48
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_49' with id=49
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_50' with id=50
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_51' with id=51
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_52' with id=52
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_53' with id=53
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_54' with id=54
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_55' with id=55
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_56' with id=56
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_57' with id=57
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_58' with id=58
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_59' with id=59
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_60' with id=60
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_61' with id=61
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_62' with id=62
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_63' with id=63
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_64' with id=64
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_65' with id=65
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_66' with id=66
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_67' with id=67
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_68' with id=68
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_69' with id=69
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_70' with id=70
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_71' with id=71
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_72' with id=72
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_73' with id=73
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_74' with id=74
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_75' with id=75
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_76' with id=76
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_77' with id=77
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_78' with id=78
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_79' with id=79
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_80' with id=80
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_81' with id=81
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_82' with id=82
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_83' with id=83
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_84' with id=84
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_85' with id=85
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_86' with id=86
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_87' with id=87
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_88' with id=88
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_89' with id=89
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_90' with id=90
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_91' with id=91
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_92' with id=92
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_93' with id=93
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_94' with id=94
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_95' with id=95
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_96' with id=96
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_97' with id=97
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_98' with id=98
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_99' with id=99
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_100' with id=100
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_101' with id=101
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_102' with id=102
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_103' with id=103
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_104' with id=104
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_105' with id=105
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_106' with id=106
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_107' with id=107
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_108' with id=108
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_109' with id=109
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_110' with id=110
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_111' with id=111
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_112' with id=112
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_113' with id=113
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_114' with id=114
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_115' with id=115
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_116' with id=116
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_117' with id=117
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_118' with id=118
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_119' with id=119
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_120' with id=120
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_121' with id=121
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_122' with id=122
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_123' with id=123
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_124' with id=124
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_125' with id=125
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_126' with id=126
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_127' with id=127
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_128' with id=128
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_129' with id=129
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_130' with id=130
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_131' with id=131
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_132' with id=132
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_133' with id=133
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_134' with id=134
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_135' with id=135
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_136' with id=136
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_137' with id=137
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_138' with id=138
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_139' with id=139
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_140' with id=140
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_141' with id=141
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_142' with id=142
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_143' with id=143
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_144' with id=144
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_145' with id=145
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_146' with id=146
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_147' with id=147
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_148' with id=148
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_149' with id=149
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_150' with id=150
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_151' with id=151
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_152' with id=152
2026-09-18 06:33:52 | INFO     | src.database | Added student 'Student_153' with id=153
